,Dates,European Union - 27 countries (from 2020),Germany,Spain,France
0,2000-01,71.8,78.5,69.93,77.43
1,2000-02,72.1,78.6,70.06,77.53
2,2000-03,72.42,78.6,70.38,77.92
3,2000-04,72.59,78.6,70.64,77.92
4,2000-05,72.76,78.4,70.77,78.08
5,2000-06,73.06,78.9,70.97,78.29
6,2000-07,73.24,79.2,71.42,78.15
7,2000-08,73.34,79.0,71.68,78.32
8,2000-09,73.76,79.2,71.94,78.74
9,2000-10,73.91,79.1,72.07,78.67
10,2000-11,74.13,79.1,72.26,78.85
11,2000-12,74.44,80.0,72.46,78.82
12,2001-01,74.31,79.5,71.94,78.47
13,2001-02,74.59,80.0,71.94,78.69
14,2001-03,75.01,80.0,72.52,79.07
15,2001-04,75.52,80.3,73.17,79.48
16,2001-05,75.94,80.7,73.43,79.99
17,2001-06,76.08,80.8,73.63,80.05
18,2001-07,75.93,80.9,73.11,79.87
19,2001-08,75.91,80.7,73.17,79.87
20,2001-09,76.17,80.6,73.56,80.03
21,2001-10,76.3,80.4,73.89,80.08
22,2001-11,76.32,80.2,74.08,79.87
23,2001-12,76.68,81.1,74.28,79.98
24,2002-01,76.86,81.1,74.15,80.37
25,2002-02,77.02,81.4,74.21,80.45
26,2002-03,77.44,81.5,74.86,80.8
27,2002-04,77.81,81.5,75.9,81.13
28,2002-05,77.94,81.6,76.16,81.24
29,2002-06,77.89,81.5,76.16,81.2
30,2002-07,77.8,81.8,75.64,81.13
31,2002-08,77.84,81.6,75.9,81.31
32,2002-09,78.05,81.5,76.16,81.47
33,2002-10,78.26,81.4,76.87,81.61
34,2002-11,78.24,81.1,77.0,81.56
35,2002-12,78.6,82.0,77.26,81.7
36,2003-01,78.64,82.0,76.94,81.87
37,2003-02,78.96,82.4,77.07,82.51
38,2003-03,79.41,82.5,77.65,82.85
39,2003-04,79.54,82.3,78.3,82.72
40,2003-05,79.5,82.1,78.24,82.67
41,2003-06,79.58,82.3,78.3,82.83
42,2003-07,79.47,82.5,77.85,82.73
43,2003-08,79.56,82.5,78.24,82.94
44,2003-09,79.88,82.4,78.43,83.3
45,2003-10,80.03,82.4,78.95,83.48
46,2003-11,80.11,82.2,79.21,83.56
47,2003-12,80.36,82.9,79.34,83.66
48,2004-01,80.3,82.9,78.69,83.68
49,2004-02,80.5,83.1,78.76,84.06
50,2004-03,80.98,83.4,79.34,84.44
51,2004-04,81.39,83.7,80.45,84.67
52,2004-05,81.69,83.9,80.9,85.01
53,2004-06,81.75,83.9,81.03,85.04
54,2004-07,81.62,84.1,80.45,84.87
55,2004-08,81.74,84.3,80.84,85.08
56,2004-09,81.86,84.0,80.97,85.16
