,HICP,Location,2000-01,2000-02,2000-03,2000-04,2000-05,2000-06,2000-07,2000-08,2000-09,2000-10,2000-11,2000-12,2001-01,2001-02,2001-03,2001-04,2001-05,2001-06,2001-07,2001-08,2001-09,2001-10,2001-11,2001-12,2002-01,2002-02,2002-03,2002-04,2002-05,2002-06,2002-07,2002-08,2002-09,2002-10,2002-11,2002-12,2003-01,2003-02,2003-03,2003-04,2003-05,2003-06,2003-07,2003-08,2003-09,2003-10,2003-11,2003-12,2004-01,2004-02,2004-03,2004-04,2004-05,2004-06,2004-07,2004-08,2004-09,2004-10,2004-11,2004-12,2005-01,2005-02,2005-03,2005-04,2005-05,2005-06,2005-07,2005-08,2005-09,2005-10,2005-11,2005-12,2006-01,2006-02,2006-03,2006-04,2006-05,2006-06,2006-07,2006-08,2006-09,2006-10,2006-11,2006-12,2007-01,2007-02,2007-03,2007-04,2007-05,2007-06,2007-07,2007-08,2007-09,2007-10,2007-11,2007-12,2008-01,2008-02,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10
0,Bread and cereals,European Union - 27 countries (from 2020),,,,,,,,,,,,67.8,68.34,68.88,69.24,69.54,69.77,69.92,70.11,70.28,70.44,70.59,70.72,70.9,71.21,71.27,71.41,71.54,71.74,71.9,72.03,72.17,72.29,72.36,72.49,72.69,72.91,73.17,73.36,73.53,73.68,73.98,74.19,74.5,74.8,75.02,75.49,75.84,76.33,76.83,77.03,77.16,77.32,77.4,77.5,77.52,77.46,77.39,77.35,77.38,77.48,77.52,77.49,77.59,77.61,77.63,77.64,77.73,77.77,77.85,77.9,77.95,78.15,78.29,78.39,78.5,78.61,78.71,78.85,78.99,79.37,79.62,79.95,80.2,80.6,80.97,81.23,81.48,81.62,81.72,81.89,82.51,83.8,85.45,86.67,87.44,88.39,89.31,89.95,90.47,90.92,91.3,91.76,92.07,92.24,92.45,92.6,92.67,92.75,92.58,92.56,92.54,92.5,92.44,92.41,92.4,92.39,92.3,92.17,92.14,92.08,92.1,92.11,92.03,92.06,92.03,92.17,92.32,92.7,93.1,93.44,93.78,94.14,94.69,95.28,95.69,96.12,96.4,96.61,96.81,96.96,97.14,97.4,97.51,97.73,98.04,98.12,98.21,98.39,98.47,98.58,98.74,99.01,99.2,99.41,99.52,99.7,99.93,99.98,100.04,100.12,100.14,100.2,100.17,99.8,99.72,99.68,99.72,99.74,99.72,99.72,99.7,99.76,99.69,99.72,99.73,99.67,99.75,99.76,99.73,99.9,99.85,99.93,100.03,100.04,100.0,100.01,100.12,100.02,100.06,99.99,100.03,100.07,100.12,100.15,100.26,100.24,100.29,100.26,100.28,100.18,100.17,100.26,100.31,100.33,100.41,100.42,100.48,100.64,100.71,100.87,100.97,100.9,100.97,101.16,101.34,101.56,101.59,101.7,101.97,102.05,102.25,102.31,102.51,102.44,102.68,103.01,103.26,103.69,104.0,104.29,104.51,104.59,104.72,104.86,105.03,104.86,105.02,105.13,105.19,105.38,105.59,106.01,106.84,106.85,106.8,106.34,106.33,106.11,106.1,106.25,106.36,106.68,106.89,107.22,107.42,107.61,107.71,107.98,108.3,108.44,109.08,110.13,111.31,112.61,113.9,115.33,118.15,120.43,122.39,124.46,126.27,127.56,129.56,131.69,133.33,135.57,137.62,138.89,139.73,140.11,140.55,140.85,140.35,140.15,140.3
1,Bread and cereals,Germany,73.3,73.3,73.3,73.2,73.2,73.3,73.2,73.2,73.3,73.4,73.6,73.7,74.0,74.3,74.6,74.8,75.1,75.4,75.7,75.8,76.0,76.2,76.5,76.7,77.3,77.3,77.5,77.5,77.5,77.4,77.6,77.6,77.6,77.6,77.7,77.9,77.9,78.0,78.0,78.1,78.1,78.2,78.2,78.3,78.3,78.3,78.4,78.4,78.5,78.5,78.4,78.4,78.4,78.5,78.5,78.6,78.7,78.6,78.7,78.7,78.7,78.5,78.4,78.4,78.4,78.4,78.4,78.4,78.5,78.6,78.6,78.6,78.7,78.8,78.8,78.9,79.0,79.0,79.2,79.2,79.4,79.8,80.0,80.1,80.4,80.5,80.8,81.0,81.0,81.0,80.9,81.2,82.0,83.0,84.1,84.9,86.0,86.8,87.4,87.8,87.9,88.0,88.2,88.3,88.5,88.9,88.9,88.9,88.9,88.6,88.6,88.7,88.8,88.7,88.7,88.6,88.7,88.6,88.3,88.3,88.1,88.2,88.3,88.2,88.2,88.2,88.2,88.3,88.3,88.4,88.8,89.3,89.5,90.0,90.1,90.6,90.6,91.3,91.4,91.8,92.1,92.2,92.7,93.1,93.2,94.1,94.2,94.4,94.8,94.9,95.2,95.1,95.4,95.5,96.1,96.2,96.4,96.7,96.8,96.9,97.2,97.2,97.3,97.3,97.6,97.7,97.8,97.8,97.8,97.9,98.1,98.2,98.5,98.5,98.5,98.7,98.8,99.1,99.1,99.3,99.4,99.4,99.7,100.0,99.9,100.2,100.3,100.2,100.1,100.2,100.2,100.4,100.2,100.5,100.4,100.5,100.7,100.7,100.6,100.6,100.8,100.5,100.8,100.9,100.7,100.9,100.8,100.7,100.9,101.0,101.0,101.1,101.0,101.1,101.4,101.7,101.8,102.2,102.0,102.3,102.4,102.6,102.4,102.8,102.7,103.0,103.4,103.7,103.8,104.3,104.5,104.8,104.8,105.1,105.3,105.5,105.6,105.6,105.6,106.1,106.3,106.4,106.5,107.1,107.0,107.4,105.1,105.4,105.3,105.2,105.6,105.7,107.5,108.3,108.6,108.8,109.2,109.2,109.5,110.0,110.4,110.6,111.2,112.1,112.6,113.9,115.2,118.4,120.9,122.8,125.8,128.6,130.7,132.3,134.5,135.9,138.9,141.9,143.1,144.1,144.8,145.8,146.4,146.0,146.4,146.8
2,Bread and cereals,Spain,65.88,65.94,66.07,66.01,66.26,66.26,66.26,66.38,66.45,66.64,66.76,66.82,67.33,67.33,67.58,67.71,67.96,68.02,68.15,68.52,68.9,69.22,69.47,70.1,70.54,70.6,70.73,70.79,71.17,71.42,71.55,71.67,72.05,72.11,72.3,72.68,73.31,73.63,73.94,74.07,74.19,74.32,74.32,74.57,74.7,74.82,75.07,75.2,76.02,77.15,77.59,77.78,77.91,77.91,78.03,77.97,77.97,78.1,78.1,78.35,79.17,79.42,79.61,79.92,79.99,80.11,80.18,80.24,80.43,80.43,80.68,80.81,81.83,82.21,82.41,82.76,82.85,82.88,82.89,83.07,83.39,83.26,83.23,83.36,84.64,85.61,85.92,86.23,86.47,86.44,86.49,86.82,88.16,90.96,91.53,92.13,93.18,94.09,94.55,94.91,95.43,95.8,96.19,96.47,96.61,96.51,96.52,96.79,96.87,96.7,96.45,96.44,96.32,96.43,96.43,96.34,96.41,96.14,96.04,95.9,95.88,95.76,95.58,95.34,95.41,95.6,95.56,95.64,95.69,95.72,95.65,95.95,96.32,96.47,96.58,96.78,97.02,97.14,97.46,97.75,97.9,97.99,98.14,98.3,98.5,98.74,98.78,98.69,98.79,98.84,99.02,99.24,99.69,99.86,99.78,99.81,100.05,100.24,100.37,100.36,100.36,100.36,100.31,100.39,100.42,100.38,100.27,100.23,100.14,100.05,100.02,99.94,99.87,99.73,99.74,99.68,99.75,99.74,99.75,99.89,99.96,99.93,100.06,100.07,100.0,100.02,99.96,100.02,100.06,99.99,99.89,100.05,100.13,100.3,100.37,100.4,100.34,100.27,100.19,100.2,100.15,100.16,100.22,100.12,100.09,99.64,99.55,99.78,99.63,99.83,99.97,100.16,99.8,99.91,100.08,99.97,100.0,100.17,100.1,100.37,100.75,100.61,100.64,100.85,100.91,101.2,101.02,101.13,101.08,101.44,101.48,101.8,101.76,101.82,101.86,102.32,101.77,102.17,102.16,102.14,102.23,102.44,102.69,103.44,103.61,103.25,102.81,102.83,102.56,102.55,102.44,102.72,102.47,102.53,102.57,103.0,102.94,103.01,103.13,103.34,103.42,104.27,104.87,107.08,108.46,110.12,110.69,115.51,118.09,119.99,121.64,122.85,123.17,124.03,125.22,128.02,128.78,130.86,131.41,132.05,132.09,132.31,131.94,132.25,131.93,132.14
3,Bread and cereals,France,79.12,79.35,79.31,79.54,79.73,79.78,79.91,79.95,80.11,80.35,80.59,80.78,81.02,81.18,81.39,81.57,81.76,81.99,82.32,82.89,83.28,83.57,83.66,83.72,83.87,83.84,83.99,84.1,84.44,84.62,84.79,85.13,85.38,85.51,85.63,85.78,85.87,85.97,86.11,86.34,86.58,86.61,86.88,87.09,87.56,87.5,87.86,87.88,88.1,88.24,88.39,88.54,88.65,88.62,88.76,88.83,88.43,88.37,88.39,88.35,88.36,88.36,88.38,88.38,88.4,88.41,88.48,88.66,88.78,88.85,88.92,88.93,88.9,88.95,89.1,89.11,89.02,89.0,89.07,89.19,89.24,89.19,89.41,89.56,89.48,89.37,89.2,89.17,89.11,89.16,89.39,89.84,90.49,91.07,91.8,92.34,93.24,94.2,94.63,95.11,95.35,95.37,95.76,96.14,96.24,96.46,96.66,96.82,96.82,96.7,96.57,96.55,96.42,96.3,96.38,96.59,96.58,96.63,96.48,96.54,96.54,96.67,96.63,96.57,96.58,96.44,96.33,96.57,96.4,96.47,96.53,96.56,96.54,96.68,97.25,97.74,98.33,98.61,99.0,99.2,99.4,99.46,99.79,99.81,99.91,100.03,99.81,100.0,100.12,100.07,100.24,100.36,100.51,100.67,100.91,100.79,100.84,100.73,100.71,100.77,100.77,100.9,100.9,100.92,100.92,100.67,100.6,100.7,100.65,100.64,100.47,100.35,100.26,100.2,99.99,100.05,99.9,100.03,99.95,99.85,99.99,100.01,100.03,99.88,99.95,100.11,100.0,99.98,100.03,100.03,100.03,99.96,99.93,99.99,100.03,99.95,99.92,99.88,99.91,99.9,99.88,99.86,99.98,100.03,100.15,100.08,100.06,100.11,100.07,100.09,100.28,100.38,100.54,100.38,100.52,100.67,100.75,100.66,100.81,100.88,101.17,101.45,101.61,101.81,101.82,101.84,101.93,102.1,102.35,102.59,102.83,103.01,103.02,103.14,103.02,103.16,103.04,103.14,103.12,103.21,103.18,103.17,103.31,104.88,104.32,103.96,103.66,103.6,103.42,103.33,103.35,103.44,103.48,103.58,103.85,103.99,104.1,103.84,103.99,104.19,104.05,104.24,104.75,105.25,106.01,106.39,107.29,108.18,109.79,110.73,111.9,113.68,114.38,115.94,117.11,117.99,120.17,121.66,123.85,125.29,125.98,126.29,126.53,126.89,126.89,126.84
4,Meat,European Union - 27 countries (from 2020),,,,,,,,,,,,73.13,73.94,74.9,75.93,77.13,77.88,78.28,78.77,79.09,79.22,79.1,79.13,79.22,79.1,78.8,78.66,78.72,78.64,78.47,78.47,78.63,78.8,78.73,78.64,78.51,78.39,78.27,78.18,78.1,78.21,78.26,78.68,79.18,79.5,79.61,79.59,79.52,79.5,79.4,79.54,79.7,79.94,80.49,81.33,81.5,81.52,81.77,81.88,82.0,81.98,81.93,81.93,82.1,82.24,82.32,82.47,82.69,82.7,82.59,82.61,82.81,82.83,82.89,82.7,82.8,83.2,83.5,84.03,84.53,84.86,84.94,84.99,85.08,85.17,85.05,85.18,85.48,85.61,85.73,86.09,86.52,86.96,87.43,87.68,87.92,88.36,88.39,88.61,88.96,89.39,89.92,90.37,90.88,91.23,91.48,91.67,91.83,92.2,92.16,92.17,92.19,92.23,92.27,92.46,92.59,92.5,92.27,92.07,91.95,91.89,91.74,91.59,91.72,91.72,91.83,92.09,92.33,92.33,92.37,92.37,92.39,92.61,92.74,93.17,93.54,93.94,94.1,94.53,94.95,95.23,95.58,95.83,96.29,96.61,96.88,96.99,97.19,97.44,97.67,97.86,98.18,98.78,99.35,99.9,100.14,100.31,100.26,100.3,100.35,100.42,100.55,100.76,101.07,101.18,101.09,101.06,101.14,101.14,101.09,100.8,100.66,100.8,100.9,101.04,101.03,100.9,100.76,100.64,100.57,100.51,100.34,100.28,100.29,100.32,99.68,99.73,99.89,99.82,99.81,99.68,99.66,99.57,99.39,99.28,99.27,99.37,99.46,99.69,99.92,99.92,100.12,100.25,100.27,100.36,100.3,100.41,100.57,101.1,101.36,101.74,102.07,102.16,102.31,102.57,102.64,102.57,102.56,102.62,102.7,102.87,102.93,103.07,103.19,103.25,103.19,103.39,103.39,103.58,103.68,103.74,104.26,105.03,105.61,106.21,106.65,106.86,107.15,107.64,108.56,109.34,109.98,110.8,111.23,111.17,111.09,110.66,110.6,110.46,110.34,110.24,110.14,110.53,110.57,110.87,111.37,111.67,111.93,112.25,112.5,112.31,112.57,112.97,113.68,114.32,114.84,116.67,121.52,124.39,126.15,127.38,128.56,129.62,131.0,132.17,133.03,134.03,134.71,135.79,136.74,137.66,138.24,138.76,139.08,138.87,138.95
5,Meat,Germany,75.8,75.8,75.8,75.9,76.0,76.1,76.2,76.4,76.5,76.7,76.9,77.2,78.5,79.3,80.4,82.3,83.0,83.3,83.4,83.4,83.3,83.2,83.0,83.0,82.9,82.7,82.4,82.4,82.2,82.0,81.9,81.7,81.7,81.6,81.4,81.4,81.2,81.1,81.1,81.0,80.9,80.8,80.9,80.8,80.8,80.9,81.0,81.0,80.8,80.7,80.7,80.7,80.5,80.5,80.6,80.6,80.7,81.0,81.1,81.2,81.3,81.2,81.1,81.2,81.3,81.1,81.2,81.1,81.1,81.1,81.2,81.4,81.3,81.4,81.5,81.5,81.7,81.7,82.0,82.2,82.6,82.9,82.8,83.0,83.2,83.0,83.2,83.4,83.4,83.6,83.6,83.9,84.2,84.5,84.7,84.9,85.2,85.3,85.7,85.6,86.0,86.2,86.5,87.7,88.2,88.8,89.1,89.1,89.0,89.2,88.9,88.9,88.9,88.8,88.7,88.7,88.9,88.7,88.4,88.9,88.7,88.9,88.7,88.8,89.2,89.0,89.4,89.3,89.2,89.3,89.3,89.6,89.6,89.8,90.3,90.4,90.7,90.9,91.9,92.6,93.0,93.2,93.2,94.2,94.7,95.2,95.4,95.7,95.8,96.3,96.7,96.9,97.2,97.6,98.9,99.5,100.1,99.9,100.4,100.3,100.6,100.4,100.6,101.1,100.7,100.8,100.6,101.0,100.8,100.9,100.6,100.1,100.1,100.4,100.8,100.6,100.5,100.7,100.4,100.3,99.9,99.8,99.7,99.8,100.0,100.0,100.1,100.0,100.1,100.1,100.2,100.2,100.1,100.2,100.1,99.8,100.2,100.1,100.2,100.2,100.7,100.9,100.9,101.2,101.1,101.4,101.5,101.5,101.6,101.8,102.5,102.8,103.3,103.5,104.0,104.1,103.7,104.2,104.0,104.1,104.6,104.4,104.5,104.3,104.1,104.1,104.7,104.8,105.1,105.2,105.2,105.4,105.9,107.2,108.3,108.8,109.1,109.3,109.6,110.5,111.6,113.6,114.5,115.2,115.6,116.0,114.1,114.0,113.6,113.8,113.8,113.6,115.5,115.8,116.1,117.0,117.2,116.7,117.8,118.0,118.2,118.9,119.3,119.7,120.4,120.6,122.1,130.8,136.6,138.7,139.4,139.9,141.2,142.0,142.9,142.6,143.2,143.5,143.8,144.3,145.5,146.2,147.2,147.9,148.1,147.8
6,Meat,Spain,67.54,67.61,67.94,68.14,68.07,68.07,68.87,69.81,71.21,71.61,71.14,72.75,73.61,74.35,75.95,75.88,76.28,76.02,76.35,77.08,77.55,76.68,76.55,77.08,76.35,75.48,75.75,75.95,76.22,76.22,76.82,77.62,78.75,78.82,78.62,78.62,78.48,78.02,78.42,78.08,78.22,78.28,79.69,81.49,82.56,81.76,81.02,80.69,80.22,79.69,80.42,80.49,80.89,81.29,82.36,83.09,83.16,83.29,83.82,83.82,83.82,83.36,83.36,84.22,84.29,84.22,84.09,84.56,84.76,84.82,85.36,86.63,87.31,87.09,86.18,85.85,86.67,87.8,88.93,89.67,90.23,90.34,90.37,90.57,90.62,90.33,90.78,91.86,92.26,92.01,92.27,92.47,93.46,94.29,94.48,94.94,94.68,94.22,94.34,95.07,95.43,95.69,96.01,96.51,97.33,97.35,97.4,97.39,97.6,97.16,96.3,95.59,94.98,94.75,95.16,95.67,96.15,96.11,95.7,95.34,95.07,94.36,94.21,94.43,94.21,94.07,94.33,94.69,95.14,95.58,95.48,95.49,95.25,94.94,95.24,95.61,96.04,96.4,96.86,97.14,97.58,97.86,97.91,97.94,97.82,97.39,97.37,97.6,97.72,97.46,97.63,98.18,99.58,100.0,100.23,100.55,100.61,100.11,99.62,99.49,99.35,99.64,99.84,100.29,100.76,100.66,100.51,100.78,100.74,100.47,100.54,100.38,100.49,100.33,100.33,100.32,100.27,100.26,100.17,100.39,100.49,100.25,100.09,100.03,99.75,99.63,99.81,100.03,100.17,100.0,99.88,99.89,100.06,99.62,99.48,99.26,99.1,99.11,99.23,99.51,99.66,99.62,99.68,99.95,99.89,99.24,99.34,99.39,99.93,100.29,100.8,101.03,100.91,100.94,101.29,101.54,101.34,100.92,101.12,101.14,101.24,101.37,101.58,101.69,101.95,102.03,102.25,102.52,102.16,101.98,102.08,102.23,102.87,103.39,103.91,104.33,104.62,104.92,105.16,105.96,105.94,106.48,106.93,107.74,107.36,107.07,107.29,107.71,107.7,107.7,107.54,107.81,107.66,107.55,107.82,108.26,108.32,108.41,108.4,108.45,108.66,109.13,110.33,111.67,111.31,111.22,112.23,116.26,117.62,118.88,120.19,121.0,121.68,122.8,123.69,125.33,126.06,126.74,127.86,129.41,130.38,131.15,131.41,131.7,131.77,132.23
7,Meat,France,70.04,70.17,70.21,70.59,70.77,70.85,71.51,71.94,71.81,71.87,72.13,72.56,73.15,74.14,75.18,76.53,77.43,77.81,78.36,78.73,78.45,78.25,78.27,78.37,78.25,78.41,78.25,78.46,78.39,78.24,78.31,78.52,78.02,77.92,78.15,78.34,78.25,78.46,78.42,78.56,78.58,78.73,79.21,79.61,79.47,79.65,79.91,79.99,80.09,80.27,80.45,80.49,80.56,80.83,81.27,81.51,81.03,81.11,81.38,81.39,81.34,81.6,81.57,81.54,81.8,81.94,82.26,82.5,82.3,82.2,82.35,82.39,82.41,82.81,83.05,83.15,83.38,83.57,84.03,84.4,84.26,84.26,84.49,84.63,84.51,84.5,84.52,84.76,84.81,85.02,85.24,85.84,85.97,86.34,86.94,87.31,87.9,88.26,88.31,88.79,89.11,89.1,89.6,90.1,89.92,89.92,90.0,90.26,90.15,90.4,90.33,90.27,90.53,90.44,90.56,90.8,90.61,90.66,90.65,90.5,90.45,90.65,90.46,90.74,90.9,90.74,90.94,91.14,90.96,90.8,91.29,91.13,91.32,91.58,92.0,92.38,92.89,93.23,93.74,94.09,94.11,94.25,94.37,94.75,94.98,95.39,95.34,95.34,95.72,95.78,95.92,96.28,96.11,96.8,97.34,97.7,97.71,97.98,98.22,98.3,98.64,98.73,98.88,99.39,99.12,99.22,99.39,99.4,99.46,99.59,99.41,99.4,99.6,99.6,99.6,99.8,99.62,99.58,99.85,99.86,99.63,99.77,99.62,99.66,99.86,99.94,100.06,100.3,100.05,100.18,100.34,100.59,100.18,100.19,100.29,100.37,100.45,100.33,100.44,100.64,100.29,100.26,100.72,100.73,100.71,100.76,100.9,100.95,101.34,101.5,101.63,102.08,101.79,101.85,102.19,102.11,101.96,102.31,102.42,102.38,102.71,102.76,102.89,103.29,103.02,102.93,103.32,103.45,103.58,104.2,104.18,104.16,104.68,105.06,105.44,106.35,106.13,106.18,106.81,107.41,107.64,107.67,107.92,108.26,108.75,108.69,108.08,108.43,108.18,107.99,108.3,108.37,108.26,108.63,108.56,108.75,108.81,109.32,109.34,109.63,109.33,109.48,109.76,110.19,110.38,111.04,111.77,113.32,115.47,117.13,118.92,120.85,121.41,123.05,124.79,125.6,126.98,128.11,129.09,130.26,130.88,131.12,131.56,131.75,131.47,131.45
8,Fish and seafood,European Union - 27 countries (from 2020),,,,,,,,,,,,70.57,71.66,70.95,71.57,72.04,71.72,71.82,72.33,73.17,73.34,73.11,73.24,73.93,75.17,74.78,74.61,74.87,75.08,75.6,76.08,76.63,76.44,76.21,76.52,77.23,78.45,77.61,77.31,77.23,77.12,77.08,77.36,77.66,78.07,77.5,77.31,77.88,79.12,77.94,77.98,77.84,77.85,77.73,78.21,78.38,78.46,78.28,78.34,78.38,80.08,79.14,78.84,78.81,78.59,79.22,79.52,80.13,80.1,80.09,80.4,81.09,82.01,81.1,81.71,82.15,81.89,82.48,82.65,83.36,83.61,83.25,83.61,84.66,85.4,84.22,84.38,84.51,84.27,84.37,84.88,85.32,85.33,85.11,85.58,86.48,88.22,87.02,87.13,87.27,87.03,88.06,87.68,87.85,87.87,87.41,87.46,88.18,88.88,88.06,87.26,87.36,87.13,87.33,87.53,88.13,88.14,87.48,87.65,88.09,88.71,87.93,88.23,88.56,88.3,88.63,88.98,89.62,89.75,89.58,89.72,90.39,91.01,90.66,91.34,91.58,92.03,92.12,92.48,93.2,93.77,93.71,93.78,94.63,95.15,94.51,94.71,95.1,95.32,95.02,95.5,95.87,96.26,95.86,95.77,96.06,97.18,96.46,96.54,97.02,96.91,97.03,97.13,97.37,97.72,97.28,97.66,97.71,99.28,99.44,98.27,97.85,98.02,97.83,98.16,98.7,98.85,98.76,98.95,99.32,100.31,99.55,99.48,99.52,99.3,99.26,99.47,100.27,100.61,100.42,100.44,101.37,103.71,102.23,101.75,102.37,102.34,102.79,103.48,104.2,103.66,103.83,103.81,104.56,106.99,106.01,105.57,105.54,106.06,106.19,106.97,107.65,107.24,106.9,107.08,107.41,109.42,107.8,108.03,108.77,108.76,108.75,108.81,109.14,109.28,109.31,109.38,109.51,111.0,110.13,110.12,110.11,110.85,110.66,110.82,111.43,111.07,110.78,111.27,111.42,113.89,112.38,113.22,114.91,113.74,113.53,112.66,113.05,112.61,112.39,112.53,113.03,114.49,113.54,113.26,114.14,114.37,114.36,114.9,115.38,114.99,115.29,116.05,117.25,119.51,119.1,121.33,122.88,125.39,126.78,128.18,129.29,129.44,130.18,131.65,132.9,136.13,136.51,137.98,138.9,138.99,139.18,139.14,139.49,138.84,138.92
9,Fish and seafood,Germany,62.9,62.5,62.6,62.7,63.6,63.2,63.1,63.3,63.3,63.5,64.1,64.4,65.4,65.2,65.2,65.4,65.8,66.3,66.5,67.5,67.4,67.9,68.1,68.1,69.9,69.0,68.6,68.6,69.1,69.5,69.6,70.3,70.3,70.7,71.3,71.2,71.0,71.0,70.2,70.4,70.8,70.6,71.3,71.8,72.0,71.3,71.0,70.8,71.4,71.5,70.8,70.7,70.6,70.7,71.6,71.4,71.5,71.9,72.3,72.1,73.0,72.4,72.1,72.4,72.2,71.9,72.3,72.3,72.9,73.0,73.3,73.9,74.6,74.5,74.7,75.3,75.9,75.9,76.8,77.0,76.8,77.2,77.4,77.4,78.6,78.0,78.2,78.6,79.1,78.6,78.3,78.6,78.5,78.7,79.9,79.6,80.7,80.2,79.9,80.1,79.8,79.4,79.5,80.3,80.2,80.5,80.8,81.2,81.5,81.0,81.1,81.7,81.5,82.2,82.3,83.1,83.5,83.4,83.2,84.0,84.0,84.5,84.3,85.1,85.2,85.1,85.1,85.8,86.1,85.9,86.1,86.7,87.8,88.0,88.3,88.3,88.9,88.9,88.6,88.8,89.3,89.4,89.8,90.1,91.4,91.7,92.2,92.6,92.8,93.1,93.7,94.4,94.2,94.3,94.5,95.0,96.2,94.7,95.4,95.6,95.4,96.0,96.2,96.8,96.7,96.8,96.9,96.9,98.3,98.3,98.0,97.6,97.8,97.7,97.8,98.1,97.9,98.1,98.1,98.8,99.4,99.1,99.1,99.4,99.7,99.9,100.2,100.5,100.6,100.2,100.8,101.1,102.4,101.9,102.5,102.9,103.2,103.4,104.0,104.0,104.0,104.2,104.0,104.8,107.5,107.4,107.0,106.8,107.4,107.1,107.5,107.7,107.7,107.5,107.9,108.0,109.0,108.0,109.2,109.4,109.4,109.5,109.3,109.7,109.8,110.0,110.4,110.3,112.0,112.1,112.6,112.6,113.0,113.3,113.7,114.1,113.6,113.9,114.5,114.6,115.5,115.5,115.8,116.2,115.8,115.9,114.0,113.9,114.2,113.5,113.6,113.9,116.0,115.8,116.2,116.5,116.3,116.9,117.0,117.3,117.3,117.5,118.2,118.0,119.2,119.8,121.6,124.5,127.1,128.7,130.5,133.8,136.7,137.1,139.5,140.7,143.7,146.7,147.8,148.7,150.4,151.7,148.4,148.6,149.1,148.5
