,HICP,Location,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
0,Bread and cereals,European Union - 27 countries (from 2020),,29.68,28.87,28.01,27.77,28.01,27.22,27.3,28.48,28.74,28.48,27.71,27.21,27.34,27.54,27.18,27.44,27.32,27.08,26.29,26.5,29.91,28.69,28.73
1,Bread and cereals,Germany,20.27,19.55,20.03,20.13,20.04,19.66,19.23,19.33,19.08,19.78,19.27,19.16,19.04,20.21,20.34,20.28,20.27,20.27,20.29,17.3,17.75,20.14,19.74,20.84
2,Bread and cereals,Spain,32.31,32.75,33.51,33.51,34.23,34.64,34.82,33.38,31.49,28.24,29.43,29.15,28.87,28.73,29.2,29.76,29.36,29.58,28.85,26.97,29.15,34.72,31.15,26.35
3,Bread and cereals,France,23.93,23.11,23.59,23.44,23.39,23.78,22.38,22.18,22.25,22.48,22.4,22.56,22.98,23.52,24.15,23.99,26.17,26.2,26.55,26.83,27.38,31.63,28.45,29.8
4,Meat,European Union - 27 countries (from 2020),,44.59,44.38,41.55,40.46,40.51,39.45,39.47,39.62,39.56,39.43,38.35,38.45,38.6,38.85,38.23,35.95,36.22,35.93,34.79,35.48,38.92,37.59,35.59
5,Meat,Germany,26.66,25.96,27.56,26.74,26.26,25.77,25.3,25.46,23.99,24.93,24.45,24.24,25.05,25.14,24.83,23.71,23.76,24.33,24.92,21.36,22.46,24.79,24.28,24.27
6,Meat,Spain,65.78,53.47,55.33,54.88,56.44,56.95,55.01,54.98,50.48,45.34,46.3,46.1,45.86,45.9,47.43,46.57,45.71,46.75,45.34,43.73,46.13,55.02,54.59,44.3
7,Meat,France,49.85,49.67,51.11,49.14,47.34,46.21,44.77,44.07,43.04,43.14,42.14,41.92,42.66,42.95,43.54,43.21,38.96,38.24,37.69,36.54,36.09,39.17,37.71,34.66
8,Fish and seafood,European Union - 27 countries (from 2020),,10.65,10.78,10.9,10.7,10.68,10.84,10.93,10.72,10.48,10.25,9.9,9.98,9.95,9.94,9.96,9.36,9.38,9.37,9.02,9.02,9.95,9.76,9.04
9,Fish and seafood,Germany,3.37,3.32,3.46,3.57,3.52,3.51,3.51,3.64,3.68,3.71,3.77,3.83,3.6,4.3,4.3,4.28,4.31,4.42,4.41,3.61,3.77,4.2,4.09,4.64
10,Fish and seafood,Spain,35.91,31.39,31.26,30.98,31.65,31.44,30.82,30.6,27.92,24.94,24.08,24.45,24.22,24.14,24.67,25.02,24.63,23.28,23.09,21.93,22.94,27.24,27.35,21.41
11,Fish and seafood,France,12.9,12.64,12.64,12.66,12.3,12.92,12.87,13.22,12.68,13.04,13.1,10.92,11.22,10.96,10.83,10.72,8.98,9.43,9.18,8.8,8.39,9.33,8.68,8.59
12,"Milk, cheese and eggs",European Union - 27 countries (from 2020),,25.15,25.16,24.39,24.28,24.05,23.51,23.17,25.26,24.68,24.08,23.49,23.43,23.16,24.09,23.77,22.27,22.3,22.97,21.72,21.26,24.45,23.52,24.05
13,"Milk, cheese and eggs",Germany,16.94,16.25,17.23,16.79,16.73,16.07,15.65,15.45,18.67,17.61,16.84,16.81,16.81,16.16,18.08,17.12,15.54,16.79,18.87,16.74,16.19,18.92,18.57,20.95
